seq_id	sample	nread
LPASA1727-22	GE4WUW	25
LPASA1728-22	GE4WUW	27
LPASA1729-22	GE4WUW	31
LPASA1730-22	GE4WUW	29
LPASA1731-22	GE4WUW	20
LPASA1732-22	GE4WUW	24
LPASA1733-22	GE4WUW	22
LPASA1734-22	GE4WUW	27
LPASA1735-22	GE4WUW	31
LPASA1736-22	GE4WUW	23
LPASA1737-22	GE4WUW	20
LPASA1738-22	GE4WUW	30
LPASA1739-22	GE4WUW	20
LPASA1740-22	GE4WUW	34
LPASA1741-22	GE4WUW	25
LPASA1742-22	GE4WUW	21
LPASA1743-22	GE4WUW	31
LPASA1744-22	GE4WUW	22
LPASA1745-22	GE4WUW	30
LPASA1746-22	GE4WUW	24
LPASA1747-22	GE4WUW	22
LPASA1748-22	GE4WUW	28
LPASA1749-22	GE4WUW	25
LPASA1750-22	GE4WUW	24
LPASA1751-22	GE4WUW	24
LPASA1752-22	GE4WUW	23
LPASA1753-22	GE4WUW	32
LPASA1754-22	GE4WUW	21
LPASA1755-22	GE4WUW	13
LPASA1756-22	GE4WUW	21
LPASA1757-22	GE4WUW	27
LPASA1758-22	GE4WUW	15
LPASA1759-22	GE4WUW	30
LPASA1760-22	GE4WUW	28
LPASA1761-22	GE4WUW	21
LPASA1762-22	GE4WUW	30
LPASA1763-22	GE4WUW	30
LPASA1764-22	GE4WUW	33
LPASA1765-22	GE4WUW	30
LPASA1766-22	GE4WUW	29
LPASA1767-22	GE4WUW	25
LPASA1768-22	GE4WUW	21
LPASA1769-22	GE4WUW	28
LPASA1770-22	GE4WUW	29
LPASA1771-22	GE4WUW	18
LPASA1772-22	GE4WUW	24
LPASA1773-22	GE4WUW	26
LPASA1774-22	GE4WUW	34
LPASA1775-22	GE4WUW	31
LPASA1776-22	GE4WUW	17
LPASA1777-22	GE4WUW	13
LPASA1778-22	GE4WUW	20
LPASA1779-22	GE4WUW	31
LPASA1780-22	GE4WUW	29
LPASA1781-22	GE4WUW	30
LPASA1782-22	GE4WUW	15
LPASA1783-22	GE4WUW	19
LPASA1784-22	GE4WUW	22
LPASA1785-22	GE4WUW	21
LPASA1786-22	GE4WUW	25
LPASA1787-22	GE4WUW	32
LPASA1788-22	GE4WUW	19
LPASA1789-22	GE4WUW	15
LPASA1790-22	GE4WUW	25
LPASA1791-22	GE4WUW	32
LPASA1792-22	GE4WUW	25
LPASA1793-22	GE4WUW	24
LPASA1794-22	GE4WUW	24
LPASA1795-22	GE4WUW	23
LPASA1796-22	GE4WUW	22
LPASA1797-22	GE4WUW	30
LPASA1798-22	GE4WUW	21
LPASA1799-22	GE4WUW	31
LPASA1800-22	GE4WUW	16
LPASA1801-22	GE4WUW	23
LPASA1802-22	GE4WUW	35
LPASA1803-22	GE4WUW	32
LPASA1804-22	GE4WUW	25
LPASA1805-22	GE4WUW	29
LPASA1806-22	GE4WUW	27
LPASA1807-22	GE4WUW	21
